DTXSID,label,predicted_proba,is_error,uncertainty_std,nn_tanimoto_to_train,ad_novelty
DTXSID8023478,0.0,0.26,False,0.43863424398922574,0.3484848484848485,0.6515151515151515
DTXSID3023479,0.0,0.11,False,0.31288975694323923,0.5333333333333333,0.4666666666666667
DTXSID7023487,0.0,0.29,False,0.45376205218153837,0.3108108108108108,0.6891891891891893
DTXSID2023488,0.0,0.254,False,0.4352975993501447,0.5172413793103449,0.48275862068965514
DTXSID6023496,0.0,0.15,False,0.357071421427143,0.25,0.75
DTXSID7023510,0.0,0.104,False,0.30526054445342105,0.6774193548387096,0.32258064516129037
DTXSID0023533,0.0,0.08,False,0.27129319932500984,0.328125,0.671875
DTXSID9023548,0.0,0.146,False,0.35310621631458045,0.5833333333333334,0.41666666666666663
DTXSID3023552,0.0,0.393,False,0.4879047038100772,0.2898550724637681,0.7101449275362319
DTXSID3023554,0.0,0.65525,True,0.47479331029406807,0.8048780487804879,0.19512195121951215
DTXSID8023557,0.0,0.056,False,0.22992172581119938,0.4339622641509434,0.5660377358490566
DTXSID2023565,0.0,0.178,False,0.3825127448857084,0.52,0.48
DTXSID7023566,0.0,0.212,False,0.40872484632084755,0.2962962962962963,0.7037037037037037
DTXSID7023568,0.0,0.204,False,0.4029689814365378,0.375,0.625
DTXSID2023569,1.0,0.19,True,0.39230090491866065,0.3709677419354839,0.6290322580645161
DTXSID1023576,0.0,0.356,False,0.478815204436951,0.3548387096774194,0.6451612903225806
DTXSID5023584,0.0,0.30060000000000003,False,0.4576239067181705,0.33783783783783783,0.6621621621621622
DTXSID4023593,1.0,0.768,False,0.422108990664734,0.6206896551724138,0.3793103448275862
DTXSID4023595,0.0,0.318,False,0.46569947390994537,0.3076923076923077,0.6923076923076923
DTXSID0023618,0.0,0.686,True,0.46411636471902223,0.5526315789473685,0.4473684210526315
DTXSID2023644,0.0,0.228,False,0.4195426080864736,0.6,0.4
DTXSID6023652,0.0,0.216,False,0.4115142767875724,0.2702702702702703,0.7297297297297297
DTXSID4023672,0.0,0.448,False,0.4972886485734429,0.2545454545454545,0.7454545454545455
DTXSID9023673,0.0,0.336,False,0.47233886141201736,0.4461538461538462,0.5538461538461539
DTXSID9023677,0.0,0.312,False,0.46330983153824945,0.35294117647058826,0.6470588235294117
DTXSID8023688,0.0,0.224,False,0.4169220550654509,0.17391304347826086,0.8260869565217391
DTXSID7023697,1.0,0.43293333333333334,True,0.49470962976050675,0.3018867924528302,0.6981132075471699
DTXSID9023706,0.0,0.276,False,0.44701677820860325,0.4067796610169492,0.5932203389830508
DTXSID8023719,1.0,0.474,True,0.4993235424051221,0.38028169014084506,0.619718309859155
DTXSID2023721,0.0,0.30310000000000004,False,0.45884135602624354,0.40186915887850466,0.5981308411214954
